P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,-4.06,1.05 mM,-5.26,-5.12,-0.14,-0.24,1.19,-0.24
Cynaroside,-6.85,9.57,-10.13,-9.81,-0.32,-4.49,3.28,-4.49
Dihidroquercetin,-6.06,36.37,-7.85,-7.14,-0.7,-2.15,1.79,-2.15
Ecdysteron,-6.72,11.96,-10,-9.69,-0.31,-1.77,3.28,-1.77
Firul acid,-4.64,395.3,-6.13,-5.5,-0.63,-0.97,1.49,-0.97
Galic acid,-6.88,9.04,-10.76,-9.9,-0.86,-3.4,3.88,-3.4
Lutiolin,-6.87,9.28,-8.36,-8.07,-0.28,-1.51,1.49,-1.51
Plantaginin,-11.12,7.06 nM,-14.4,-14.4,0,-5.4,3.28,-5.4
Quercetin,-6,39.72,-7.79,-7.43,-0.36,-2.59,1.79,-2.59
Rosavin,-5.1,183.78,-8.97,-8.43,-0.54,-5.83,3.88,-5.83
Rutin,-5.98,41.33,-10.75,-10.3,-0.45,-6.57,4.77,-6.57
Salidrodside,-5.24,143.07,-8.23,-7.61,-0.62,-2.47,2.98,-2.47
Turkesterone,-6.82,10.03,-10.4,-10.1,-0.3,-2.3,3.58,-2.3
