P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,-4.25,766.34,-5.44,-5.42,-0.02,-0.19,1.19,-0.19
Cynaroside,-5.72,64.07,-9,-8.98,-0.02,-4.68,3.28,-4.68
Dihidroquercetin,-6.22,27.72,-8.01,-7.65,-0.36,-2.35,1.79,-2.35
Ecdysteron,-8.24,908.29,-11.52,-11.57,0.05,-2.17,3.28,-2.17
Firul acid,-4.65,389.71,-6.14,-6.03,-0.11,0.97,1.49,-0.97
Galic acid,-6.72,11.8,-10.6,-10.51,-0.09,-4.64,3.88,-4.64
Lutiolin,-6.76,11.01,-8.26,-7.88,-0.37,-2.01,1.49,-2.01
Plantaginin,-11.99,1.64 nM,-15.27,-15.27,0,-4.48,3.28,-4.48
Quercetin,-5.95,43.82,-7.74,-7.45,-0.28,-2.59,1.79,-2.59
Rosavin,-6.12,32.39,-10,-9.95,-0.05,-5.4,3.88,-5.4
Rutin,-7.45,3.47,-12.22,-12.08,-0.14,-7.18,4.77,-7.18
Salidrodside,-5.12,177.5,-8.1,-7.95,-0.15,-2.35,2.98,-2.35
Turkesterone,-7.16,5.63,-10.74,-10.71,-0.03,-3.03,3.58,-3.03
