P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,-3.39,3.27,-4.58,-4.42,-0.16,-0.21,1.19,-0.21
Cynaroside,-4.3,707.07,-7.58,-7.01,-0.57,-3.76,3.28,-3.76
Dihidroquercetin,-5.23,146.49,-7.02,-6.44,-0.58,-2.35,1.79,-2.35
Ecdysteron,-4.79,309.19,-8.07,-7.69,-0.38,-3.24,3.28,-3.24
Firul acid,-4.3,706.77,-5.79,-5.03,-0.76,-0.97,1.49,-0.97
Galic acid,-5.85,51.77,-9.72,-8.97,-0.76,-3.86,3.88,-3.86
Lutiolin,-4.9,256.67,-6.39,-5.89,-0.5,-2,1.49,-2
Plantaginin,-8.53,558.94,-11.81,-11.81,0,-4.15,3.28,-4.15
Quercetin,-5.42,106.81,-7.21,-6.96,-0.25,-2.44,1.79,-2.44
Rosavin,-4.42,572.29,-8.3,-8,-0.3,-5.43,3.88,-5.43
Rutin,-4.57,448.81,-9.34,-8.65,-0.69,-8.05,4.77,-8.05
Salidrodside,-4.94,240.36,-7.92,-7.45,-0.47,-2.18,2.98,-2.18
Turkesterone,-4.82,294.82,-8.4,-7.84,-0.56,-1.19,3.58,-1.19
