P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,-4.18,868.15,-5.37,-5.2,-0.17,-0.19,1.19,-0.19
Cynaroside,-6.54,16.13,-9.82,-9.66,-0.16,-4.57,3.28,-4.57
Dihidroquercetin,-5.57,83.19,-7.36,-6.91,-0.45,-2.72,1.79,-2.72
Ecdysteron,-6.67,12.87,-9.95,-9.74,-0.22,-4.73,3.28,-4.73
Firul acid,-3.75,1.78 mM,-5.24,-4.68,-0.56,-0.97,1.49,-0.97
Galic acid,-4.66,383.34,-8.54,-8.42,-0.12,-4.83,3.88,-4.83
Lutiolin,-5.87,50,-7.36,-7.18,-0.18,-1.96,1.49,-1.96
Plantaginin,-10.89,10.39,-14.17,-14.17,0,-5.51,3.28,-5.51
Quercetin,-5.36,118.28,-7.15,-6.65,-0.49,-2.34,1.79,-2.34
Rosavin,-4.13,944.82,-8,-7.64,-0.36,-3.99,3.88,-3.99
Rutin,-4.18,865.54,-8.95,-8.72,-0.23,-8.18,4.77,-8.18
Salidrodside,-4.2,832.08,-7.18,-6.73,-0.45,-2.3,2.98,-2.3
Turkesterone,-7.9,1.63,-11.48,-11.07,-0.41,-1.32,3.58,-1.32
