P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,3.33,,2.14,2.17,-0.03,-0.17,1.19,-0.17
Cynaroside,-6.53,16.39,-9.81,-9.28,-0.53,-3.93,3.28,-3.93
Dihidroquercetin,-8.22,947.47,-10.01,-9.69,-0.32,-2.77,1.79,-2.77
Ecdysteron,7.19,,3.91,4.04,-0.13,-3.41,3.28,-3.41
Firul acid,-5.81,54.91,-7.3,-7,-0.31,-0.96,1.49,-0.96
Galic acid,-7.15,3.44,-11.33,-11.15,-0.18,-4.81,3.88,-4.81
Lutiolin,-8.17,1.03,-9.66,-9.22,-0.43,-1.99,1.49,-1.99
Plantaginin,-13.28,183,-16.57,-16.57,0,-4.47,3.28,-4.47
Quercetin,-8.02,1.32,-9.81,-9.44,-0.37,-2.57,1.79,-2.57
Rosavin,-7.18,5.42,-11.06,-10.4,-0.67,-3.36,3.88,-3.36
Rutin,7.41,,2.63,3.65,-1.02,3.7,4.77,3.7
Salidrodside,-6.9,8.79,-9.88,-9.19,-0.69,-1.98,2.98,-1.98
Turkesterone,8.85,,5.27,5.61,-0.34,-1.29,3.58,-1.29
