P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,-3.38,3.33,-4.57,-4.56,-0.02,-0.21,1.19,-0.21
Cynaroside,-4.38,620.16,-7.66,-6.96,-0.7,-4.31,3.28,-4.31
Dihidroquercetin,-5.01,211.41,-6.8,-6.32,-0.48,-2.83,1.79,-2.83
Ecdysteron,-4.99,219.64,-8.27,-8.15,-0.12,-4.25,3.28,-4.25
Firul acid,-3.57,2.42,-5.06,-4.39,-0.66,-0.87,1.49,-0.87
Galic acid,-3.05,5.81,-6.93,-6.53,-0.4,-5.19,3.88,-5.19
Lutiolin,-4.77,320.24,-6.26,-5.9,-0.36,-2.01,1.49,-2.01
Plantaginin,-9.01,250.48 nM,-12.29,-12.29,0,-4.48,3.28,-4.48
Quercetin,-5.26,138.84,-7.05,-6.48,-0.57,-1.85,1.79,-1.85
Rosavin,-3.22,4.36 mM,-7.1,-6.71,-0.39,-4.03,3.88,-4.03
Rutin,-3.11,5.23 mM,-7.89,-7.55,-0.34,-8.72,4.77,-8.72
Salidrodside,-3.4,3.23 mM,-6.38,-5.83,-0.55,-2.77,2.98,-2.77
Turkesterone,-4.72,348.19,-8.3,-7.92,-0.38,-3.94,3.58,-3.94
