P/L,Estimated Free Energy of Binding (kcal/mol),Ki (mikromolar),Final Intermolecular Energy (kcal/mol),vdW + Hbond + desolv Energy (kcal/mol),Electrostatic Energy (kcal/mol),Final Total Internal Energy (kcal/mol),Torsional Free Energy (kcal/mol),Unbound System's Energy  [=(2)] (kcal/mol)
Anestezin,-5.15,166.69,-6.35,-6.33,-0.02,-0.23,1.19,-0.23
Cynaroside,-4.24,780.18,-7.52,-7.01,-0.51,-4.5,3.28,-4.5
Dihidroquercetin,-6.76,11.16,-8.55,-8.42,-0.13,-2.85,1.79,-2.85
Ecdysteron,-1.93,38.43,-5.21,-5.1,-0.12,-3.31,3.28,-3.31
Firul acid,-5.4,110.1,-6.89,-6.42,-0.47,-0.96,1.49,-0.96
Galic acid,-6.79,10.49,-10.67,-10.54,-0.13,-3.33,3.88,-3.33
Lutiolin,-7.56,2.87,-9.05,-8.99,-0.06,-2,1.49,-2
Plantaginin,-10.55,18.47,-13.83,-13.83,0,-5.96,3.28,-5.96
Quercetin,-6.31,23.79,-8.1,-7.93,-0.16,-2.64,1.79,-2.64
Rosavin,-5.92,45.41,-9.8,-9.63,-0.17,-3.57,3.88,-3.57
Rutin,22.92,,18.15,18.13,0.02,3.75,4.77,3.75
Salidrodside,-6.85,9.51,-9.83,-9.63,-0.2,-2.38,2.98,-2.38
Turkesterone,-1.08,161.02,-4.66,-4.38,-0.29,1.92,3.58,1.92
